,en,es
help_desc_5,"Want to see your progress? Open the generational album with {0} and admire all of
your current and past aphids under your care.","¿Quieres ver tu progreso? Abre el album generacional con {0} y admira todos
los áfidos presentes y pasados bajo tu cuidado."
help_desc_6,"You can rename an Aphid by picking it up and pressing its name on the top left.
It also shows its current status and skills.","Puedes renombrar un Áfido recogiendolo y presionando su nombre en la parte izquierda arriba.
Aquí tambien muestra su estado actual y habilidades."
help_desc_7,"Get a better view of your resort by pressing {0} from where you can access the furniture mode!
You can also take screenshots with F1.","¡Consigue una mejor vision del complejo presionando {0} donde puedes acceder al modo construcción!
Tambien puedes tomar capturas de pantalla usando F1."
pause_resume,Aphid,Afido
pause_options,Aphid,Afido
pause_controls,Aphid,Afido
pause_help,Aphid,Afido
pause_backtomenu,Aphid,Afido
pause_exit,Aphid,Afido
pause_warning,Aphid is saved automatically when leaving!,El juego se guarda automaticamente al salir!
credits_note,"[center]---------------------------------
Created in the Aphid 4 Engine

SOUND ASSETS

Stock sound effects from Pixabay
16-bit SFX created with JSFXR

SPECIAL THANKS

Thanks to Leo for the funny 3D Aphid Model
To tatetrox, for helping with betatesting and quality control!
To the fan game Chao Resort Island by Nefault1st for being an inspiration for this!

---------------------------------
Unless stated otherwise, all other components had been created, programmed and designed by me, Summer
Characters and places are from Bug Fables: The Everlasting Sapling by Moonsprout Games
------------------------[/center]","[center]-------------------------------
Hecho en Godot 4

ARCHIVOS DE SONIDO

Efectos de sonido de stock de parte de Pixabay
16-bit SFX creado con JSFXR

GRACIAS ESPECIALES

A Leo por el modelo 3D del Afido
A Josefina(tatetrox) por ayudar con testeo y control de calidad!
Al juego fan Chao Resort Island por Nefault1st por ser una inspiracion para esto!

---------------------------------
A menos dicho lo contrario, todo los demas componentes han sido creados, programados y diseñados por mi Summer
Caracteres y lugares vienen de Bug Fables: El Retoño Eterno de Moonsprout Games
------------------------[/center]"
generations_description,"Aphid aphid aphid aphid aphid aphid aphid.
Aphid aphid aphid aphid aphid aphid.","Aphid aphid aphid aphid aphid aphid aphid.
Aphid aphid aphid aphid aphid aphid."
generations_owner,Owned By,Criado por
generations_parent,Children of,Cría de
store_item_name,Aphid’s Bazaar,Bazar de Azzy
store_item_desc,"Purchase basic items for Aphid caretaking. Food, toys, eggs, and more!","Adquiere objectos basicos para el cuidado de Áfidos. Comida, juegetes, huevos y mucho más!"
store_item_phrase,Hi!,Hola!
store_furniture_name,Aphid Cabinet,Cabina de muebles
store_furniture_desc,The resort's stock for land decoration. Members are allowed to decorate at their heart's content.,El stock del complejo para decoracion. Los miembros tienen permiso de decorar a su gusto.
store_furniture_phrase,On Sale,En venta
kitchen_name,Aphid's Cooking Table,Cocina de Kut
kitchen_desc,Aphid aphid aphid aphid aphid aphid.,Dame un par de ingredientes y observa a un maestro en su campo.
kitchen_success,Aphid aphid aphid aphid aphid aphid.,¡Dicho y hecho!  Un platillo de un calibre que te deslumbrara.
kitchen_fail,Aphid aphid aphid aphid aphid aphid.,"...No puedo hacer milagros, mucho menos con esto."
kitchen_lockrecipe,Repeat Aphid,Repetir Receta
unknown_name,???,???
resort_golden_name,Golden Plains,Planicies Doradas
resort_golden_desc,"Situated at the Golden Settlement, It's the first accomodation of many.","Situada en el Asentamiento Dorado, es la primer acomodacion de muchas."
bio_name_placeholder,Aphid's Name,Nombre del Áfido
prompt_pickup,Pet,Recoger
prompt_drop,Pet,Soltar
prompt_interact,Pet,Interactuar
prompt_pet,Pet,Acariciar
prompt_talk,Pet,Conversar
prompt_harvest,Pet,Cosechar
prompt_sell,Pet,Vender
prompt_store,Pet,Almacenar
prompt_align_to_grid,Pet,Alinear
prompt_open_menu,Pet,Abrir Menu
food_flavor_0,Sweet,Dulce
food_flavor_1,Sour,Agrio
food_flavor_2,Salty,Salado
food_flavor_3,Bitter,Amargo
food_flavor_4,Vile,Vil
food_flavor_5,Bland,Soso
food_flavor_6,Neutral,Neutral
